split,strategy,final_value,CR,AR,sharpe,sortino,MDD,turnover,win_rate,HHI,entropy,max_weight,mu_min,n_days
test,PPO,1.247622,0.247622,0.247622,1.196915,1.671657,0.093086,0.257924,0.549801,0.400788,1.219084,0.900972,0.999024,251.000000
train,PPO,1.535265,0.535265,0.157285,0.680267,0.975158,0.168506,0.279998,0.540136,0.385360,1.263469,0.932854,0.998675,735.000000
validate,PPO,1.231330,0.231330,0.233381,0.905893,1.247898,0.149400,0.283537,0.562249,0.387429,1.257277,0.922266,0.998779,249.000000
