split,strategy,final_value,CR,AR,sharpe,sortino,MDD,turnover,win_rate,HHI,entropy,max_weight,mu_min,n_days
test,DDPG,1.240069,0.240069,0.240069,1.305966,1.866726,0.092624,0.019523,0.555777,0.289327,1.277853,0.333303,0.999000,251.000000
train,DDPG,1.400018,0.400018,0.122108,0.558899,0.783191,0.231651,0.013378,0.540816,0.288140,1.277522,0.333303,0.999000,735.000000
validate,DDPG,1.216644,0.216644,0.218554,0.882681,1.150259,0.180653,0.018793,0.554217,0.286872,1.277365,0.333304,0.999000,249.000000
