seed,split,strategy,final_value,CR,AR,sharpe,sortino,MDD,turnover,win_rate,HHI,entropy,max_weight,mu_min,n_days
0,train,PG,1.406090,0.406090,0.123773,0.604960,0.874808,0.165971,0.039386,0.526531,0.123358,2.117473,0.191183,0.999015,735
0,validate,PG,1.088236,0.088236,0.088972,0.344489,0.445926,0.172615,0.044689,0.542169,0.123312,2.117603,0.171970,0.999014,249
0,test,PG,1.291602,0.291602,0.291602,2.158363,3.179818,0.056896,0.047131,0.581673,0.123716,2.115606,0.197396,0.999014,251
1,train,PG,13.954834,12.954834,1.465720,3.414760,6.553977,0.095111,0.811971,0.579592,0.686014,0.644871,0.999505,0.998003,735
1,validate,PG,1.116534,0.116534,0.117519,0.422975,0.504349,0.150501,0.812760,0.538153,0.685139,0.642555,0.999451,0.998016,249
1,test,PG,0.983840,-0.016160,-0.016160,-0.118512,-0.144857,0.154775,0.861809,0.501992,0.683584,0.630155,0.999307,0.998013,251
2,train,PG,1.478955,0.478955,0.143381,0.640991,0.957809,0.205289,0.078090,0.529252,0.141814,2.083205,0.812234,0.999032,735
2,validate,PG,1.106119,0.106119,0.107012,0.435154,0.604950,0.176644,0.077398,0.542169,0.134320,2.100920,0.592006,0.999034,249
2,test,PG,1.330464,0.330464,0.330464,2.335547,3.506404,0.062700,0.077156,0.553785,0.136040,2.099484,0.646598,0.999033,251
