split,strategy,final_value,CR,AR,sharpe,sortino,MDD,turnover,win_rate,HHI,entropy,max_weight,mu_min,n_days
test,PG,1.291602,0.291602,0.291602,2.158363,3.179818,0.062700,0.077156,0.553785,0.136040,2.099484,0.646598,0.999014,251.000000
train,PG,1.478955,0.478955,0.143381,0.640991,0.957809,0.165971,0.078090,0.529252,0.141814,2.083205,0.812234,0.999015,735.000000
validate,PG,1.106119,0.106119,0.107012,0.422975,0.504349,0.172615,0.077398,0.542169,0.134320,2.100920,0.592006,0.999014,249.000000
