Date,CASH,AAPL,JPM,NEE,XOM,JNJ,WMT,AMZN,UPS
2024-11-06,0.00001559,0.16231878,0.32910278,0.10053475,0.00001612,0.00001555,0.34250580,0.06547502,0.00001560
2024-11-07,0.00001575,0.16712549,0.31741668,0.10148187,0.00001627,0.00001575,0.34696572,0.06694670,0.00001576
2024-11-08,0.00001582,0.16572329,0.31592785,0.10392307,0.00001615,0.00001582,0.34848992,0.06587227,0.00001582
2024-11-11,0.00001587,0.16427465,0.32006887,0.10283291,0.00001612,0.00001583,0.34709393,0.06566604,0.00001577
2024-11-12,0.00001587,0.16394704,0.31979098,0.10039707,0.00001607,0.00001587,0.34961028,0.06619095,0.00001587
2024-11-13,0.00001586,0.16353437,0.31984699,0.09972158,0.00001612,0.00001586,0.34943593,0.06739709,0.00001620
2024-11-14,0.00001587,0.16585993,0.32093115,0.10116346,0.00001613,0.00001573,0.34537974,0.06660190,0.00001608
2024-11-15,0.00001587,0.16352480,0.32550555,0.10260450,0.00001597,0.00001595,0.34449070,0.06381041,0.00001625
2024-11-18,0.00001586,0.16557131,0.32484298,0.10256636,0.00001609,0.00001602,0.34348789,0.06346694,0.00001657
2024-11-19,0.00001591,0.16415894,0.31915806,0.10249312,0.00001591,0.00001591,0.35036530,0.06376069,0.00001617
2024-11-20,0.00001603,0.16483713,0.31643318,0.10232675,0.00001615,0.00001603,0.35305549,0.06328318,0.00001606
2024-11-21,0.00001611,0.16302096,0.31878780,0.10204505,0.00001622,0.00001613,0.35475534,0.06132628,0.00001611
2024-11-22,0.00001483,0.15575434,0.32673773,0.12371960,0.00001483,0.00001483,0.32433558,0.06939341,0.00001483
2024-11-25,0.00001489,0.15723425,0.32787233,0.12432435,0.00001489,0.00001489,0.31984008,0.07066927,0.00001508
2024-11-26,0.00001472,0.15696205,0.32384070,0.12431647,0.00001470,0.00001472,0.32270845,0.07211348,0.00001470
2024-11-27,0.00001470,0.15646659,0.32276458,0.12564073,0.00001470,0.00001476,0.32387713,0.07119206,0.00001474
2024-11-29,0.00001473,0.15732910,0.32117178,0.12529466,0.00001473,0.00001473,0.32454444,0.07160109,0.00001473
2024-12-02,0.00001482,0.15947318,0.31799691,0.12324557,0.00001482,0.00001482,0.32635759,0.07286748,0.00001482
2024-12-03,0.00001491,0.16103452,0.31521965,0.12163915,0.00001491,0.00001491,0.32845275,0.07359429,0.00001491
2024-12-04,0.00001502,0.16087714,0.31262120,0.12046544,0.00001502,0.00001502,0.33093923,0.07503690,0.00001502
