split,strategy,final_value,CR,AR,sharpe,sortino,MDD,turnover,win_rate,HHI,entropy,max_weight,mu_min,n_days
test,PG,1.276619,0.276619,0.276619,2.222619,3.304538,0.050998,0.016125,0.585657,0.111633,2.194792,0.127449,0.999092,251.000000
train,PG,1.364043,0.364043,0.112152,0.569967,0.819635,0.159537,0.011068,0.531973,0.111594,2.194968,0.130742,0.999097,735.000000
validate,PG,1.089918,0.089918,0.090669,0.371042,0.487590,0.158436,0.016381,0.538153,0.111595,2.194968,0.128244,0.999090,249.000000
