split,strategy,final_value,CR,AR,sharpe,sortino,MDD,turnover,win_rate,HHI,entropy,max_weight,mu_min,n_days
test,PG,1.276619,0.276619,0.276619,2.222619,3.304538,0.050998,0.016125,0.585657,0.111633,2.194792,0.127449,0.999092,251.0
train,PG,1.364043,0.364043,0.112152,0.569967,0.819635,0.159537,0.011068,0.531973,0.111594,2.194968,0.130742,0.999097,735.0
validate,PG,1.089918,0.089918,0.090669,0.371042,0.48759,0.158436,0.016381,0.538153,0.111595,2.194968,0.128244,0.99909,249.0
test,PPO,1.247622,0.247622,0.247622,1.196915,1.671657,0.093086,0.257924,0.549801,0.400788,1.219084,0.900972,0.999024,251.0
train,PPO,1.535265,0.535265,0.157285,0.680267,0.975158,0.168506,0.279998,0.540136,0.38536,1.263469,0.932854,0.998675,735.0
validate,PPO,1.23133,0.23133,0.233381,0.905893,1.247898,0.1494,0.283537,0.562249,0.387429,1.257277,0.922266,0.998779,249.0
test,DDPG,1.240069,0.240069,0.240069,1.305966,1.866726,0.092624,0.019523,0.555777,0.289327,1.277853,0.333303,0.999,251.0
train,DDPG,1.400018,0.400018,0.122108,0.558899,0.783191,0.231651,0.013378,0.540816,0.28814,1.277522,0.333303,0.999,735.0
validate,DDPG,1.216644,0.216644,0.218554,0.882681,1.150259,0.180653,0.018793,0.554217,0.286872,1.277365,0.333304,0.999,249.0
