Date,Open,High,Low,Close,Volume
2021-08-25,125.8235763916,125.8763415206,125.1024171764,125.4717864990,3861500
2021-08-26,125.3750151672,125.5069413767,124.4164131067,125.2518920898,4749400
2021-08-27,125.3046722793,125.5597215969,124.5659337266,125.1551666260,4741200
2021-08-30,125.4102160208,125.7532027362,124.9265133660,125.7004241943,3845800
2021-08-31,125.7971496274,126.2280871081,124.9264983726,125.2255096436,9642400
2021-09-01,125.1727383061,126.8085239216,125.0847875040,126.5007095337,6214200
2021-09-02,126.6150278398,127.2834082303,126.2720412234,126.5974349976,5392500
2021-09-03,126.4303374118,126.9668050380,126.2192769815,126.6853866577,5466400
2021-09-07,126.9228566527,127.0811519924,126.0170063376,126.2104873657,6520600
2021-09-08,125.8323386974,127.4681244382,125.7707704474,127.1691131592,6897800
2021-09-09,127.1427527991,127.4153815669,126.3336427909,126.6326675415,6354700
2021-09-10,126.6941995725,127.0459893866,126.0434119006,126.7557678223,5750000
2021-09-13,127.3889915653,129.4820841809,127.3889915653,128.1189270020,9952500
2021-09-14,128.5146306747,128.7169013583,127.4768678687,127.8990020752,5831800
2021-09-15,127.8286879597,128.1980571556,127.2922202996,127.6264038086,6237100
2021-09-16,127.3801417225,127.6879560569,125.6036539198,126.7381439209,6142100
2021-09-17,126.9668351357,128.6465963623,126.8437120490,126.9404525757,18737400
2021-09-20,126.8349518795,127.3890126083,124.8561788985,125.6652755737,10238700
2021-09-21,125.7443702617,127.1075270911,125.6564328846,125.8587036133,6651300
2021-09-22,126.4831080706,126.9492177178,125.6388261435,126.2896270752,6332500
2021-09-23,126.6941841030,127.2482446053,126.1929021309,126.8085174561,5171200
2021-09-24,126.4655453626,127.0371853547,125.8411268343,126.2456817627,5009400
2021-09-27,125.8938975069,125.9114903531,124.4603958973,124.5835189819,5749700
2021-09-28,124.0470491411,124.3284675786,122.7366572188,123.6424942017,7015300
2021-09-29,123.3610933936,125.4805686588,123.2819322854,124.9001388550,5460000
2021-09-30,125.4453472212,125.5332980094,122.7102441078,122.9477005005,6934900
2021-10-01,123.0620352711,123.3258742482,121.6461267133,122.7542343140,5587200
2021-10-04,122.5871338171,123.4753778253,121.0129165314,122.0594558716,5816000
2021-10-05,122.0682531120,123.5809155021,121.9978951614,122.5343627930,6902700
