split,strategy,final_value,CR,AR,sharpe,sortino,MDD,turnover,win_rate,HHI,entropy,max_weight,mu_min,n_days
test,PG,1.279403,0.279403,0.279403,2.220961,3.289742,0.052033,0.015893,0.577689,0.111899,2.193404,0.135136,0.999081,251.000000
train,PG,1.364482,0.364482,0.112274,0.564368,0.811297,0.161380,0.011250,0.531973,0.111893,2.193431,0.136381,0.999085,735.000000
validate,PG,1.093538,0.093538,0.094320,0.390214,0.512914,0.159438,0.016287,0.538153,0.111893,2.193433,0.128059,0.999080,249.000000
