seed,split,strategy,final_value,CR,AR,sharpe,sortino,MDD,turnover,win_rate,HHI,entropy,max_weight,mu_min,n_days
0,train,PG,1.364482,0.364482,0.112274,0.564368,0.811297,0.161380,0.011250,0.531973,0.111810,2.193938,0.136381,0.999085,735
0,validate,PG,1.089087,0.089087,0.089831,0.365001,0.478687,0.158487,0.016287,0.538153,0.111817,2.193909,0.128059,0.999080,249
0,test,PG,1.279403,0.279403,0.279403,2.220961,3.289742,0.051231,0.015893,0.589641,0.111888,2.193581,0.135136,0.999081,251
1,train,PG,7.599307,6.599307,1.002485,2.941411,5.860645,0.123571,0.763859,0.574150,0.570502,0.897074,0.998738,0.998080,735
1,validate,PG,1.209668,0.209668,0.211511,0.801094,1.155205,0.241924,0.840386,0.550201,0.549146,0.945509,0.993786,0.998106,249
1,test,PG,0.973848,-0.026152,-0.026152,-0.207563,-0.303457,0.153567,0.800951,0.501992,0.608189,0.825883,0.998140,0.998026,251
2,train,PG,1.361349,0.361349,0.111399,0.555799,0.800168,0.162963,0.010724,0.530612,0.111893,2.193431,0.118260,0.999095,735
2,validate,PG,1.093538,0.093538,0.094320,0.390214,0.512914,0.159438,0.015684,0.538153,0.111893,2.193433,0.117643,0.999094,249
2,test,PG,1.284599,0.284599,0.284599,2.247455,3.322007,0.052033,0.015711,0.577689,0.111899,2.193404,0.118522,0.999094,251
