split,strategy,final_value,CR,AR,sharpe,sortino,MDD,turnover,win_rate,HHI,entropy,max_weight,mu_min,n_days
test,PG,1.276244,0.276244,0.276244,2.241154,3.314015,0.050505,0.015424,0.577689,0.111144,2.197075,0.116216,0.999101,251.000000
train,PG,1.350729,0.350729,0.108423,0.549959,0.791964,0.158803,0.010300,0.530612,0.111137,2.197110,0.117456,0.999103,735.000000
validate,PG,1.090356,0.090356,0.091111,0.378082,0.495548,0.155274,0.015221,0.538153,0.111136,2.197111,0.116746,0.999101,249.000000
