seed,split,strategy,final_value,CR,AR,sharpe,sortino,MDD,turnover,win_rate,HHI,entropy,max_weight,mu_min,n_days
0,train,PG,1.350108,0.350108,0.108248,0.548297,0.789000,0.158803,0.010742,0.531973,0.111137,2.197110,0.120445,0.999103,735
0,validate,PG,1.089023,0.089023,0.089767,0.369539,0.485462,0.155274,0.015323,0.534137,0.111136,2.197111,0.116977,0.999101,249
0,test,PG,1.273354,0.273354,0.273354,2.219168,3.277634,0.050505,0.015424,0.577689,0.111144,2.197075,0.119973,0.999101,251
1,train,PG,1.350729,0.350729,0.108423,0.549959,0.791964,0.158125,0.009489,0.530612,0.111125,2.197162,0.115209,0.999106,735
1,validate,PG,1.090356,0.090356,0.091111,0.378082,0.495548,0.155160,0.014336,0.538153,0.111124,2.197169,0.114726,0.999105,249
1,test,PG,1.276244,0.276244,0.276244,2.241154,3.314015,0.050347,0.014726,0.581673,0.111123,2.197172,0.113814,0.999105,251
2,train,PG,1.359375,0.359375,0.110847,0.554505,0.798120,0.162131,0.010300,0.530612,0.111654,2.194630,0.117456,0.999100,735
2,validate,PG,1.093023,0.093023,0.093801,0.388528,0.510301,0.158605,0.015221,0.538153,0.111653,2.194631,0.116746,0.999099,249
2,test,PG,1.283420,0.283420,0.283420,2.247872,3.319705,0.051662,0.015453,0.577689,0.111658,2.194610,0.116216,0.999099,251
